package,seed,val_rmse,learning_rate,max_depth,subsample,colsample_bytree,random_state
Optuna,0,9213.958507214169,0.05940907375087291,12,0.7857243850508893,0.8906159971737034,
Optuna,42,9319.666729255523,0.0809056940601613,8,0.5037736596581466,0.9775458067418015,
Optuna,7,9086.710308680858,0.08884371588931136,12,0.6600011001317989,0.9969791651909937,
Optuna,123,9164.363881632436,0.05981796783788487,10,0.8025502191463134,0.9896822135508839,
Optuna,999,9328.093015653632,0.04038432006768238,11,0.757693638176608,0.7596936417680165,
Hyperopt,0,9260.177407285657,0.09531392318407984,8,0.6610597115491572,0.5096972689414578,0.0
Hyperopt,42,9291.17744439895,0.04305162298933302,10,0.9411338024873159,0.7258128479235475,42.0
Hyperopt,7,9416.289495316567,0.03472506300629391,6,0.6139331758891606,0.8742822909547958,7.0
Hyperopt,123,9272.014058998047,0.036667685868373996,11,0.7046895690413035,0.9976776799212073,123.0
Hyperopt,999,9280.74184561529,0.0701357799012518,11,0.9880792335153867,0.9955627425361694,999.0
Skopt,0,9113.086176139277,0.06436347866919467,12,1.0,1.0,0.0
Skopt,42,9264.89170992751,0.024449157937353375,12,1.0,1.0,42.0
Skopt,7,9224.398932203238,0.028325528468839907,12,1.0,1.0,7.0
Skopt,123,9259.602490119369,0.058343381472205656,7,1.0,0.5,123.0
Skopt,999,9244.059634734991,0.04753150650460928,8,0.5,1.0,999.0
