epoch,loss,train_rmse,val_loss,val_rmse
1,1.0653,0.8253,0.02,0.1682
2,0.0333,0.1823,0.02,0.1571
3,0.0258,0.1606,0.02,0.1617
4,0.022,0.1483,0.03,0.1791
5,0.0207,0.1438,0.02,0.1593
6,0.0182,0.1351,0.01,0.1364
7,0.0169,0.1301,0.02,0.1437
8,0.0165,0.1284,0.01,0.1308
9,0.0157,0.1252,0.01,0.1267
10,0.0146,0.1209,0.02,0.1598
11,0.0142,0.1193,0.01,0.1402
12,0.0142,0.1191,0.01,0.1381
13,0.0141,0.1188,0.02,0.1494
14,0.013,0.1142,0.01,0.1251
15,0.0126,0.1124,0.01,0.1285
16,0.012,0.1096,0.01,0.1267
17,0.0125,0.1116,0.01,0.1274
18,0.0118,0.1084,0.02,0.1573
19,0.012,0.1097,0.01,0.1374
