package,seed,val_rmse,n_layers,units,dropout,learning_rate
Optuna,0,7048.931,3,222,0.11005682338440378,0.0044735983569920675
Optuna,42,6889.163,2,180,0.060730633128044886,0.005370111546559015
Optuna,7,6824.281,2,247,0.05575868997232019,0.008873457736760224
Optuna,123,6722.89,3,59,0.10779918467936357,0.004006104404513753
Optuna,999,6854.426,3,238,0.01033752534729715,0.00895924375278677
Hyperopt,0,7086.167,3,173,0.12362871137763487,0.0023057726956745303
Hyperopt,42,7092.317,2,132,0.1149178980045017,0.008953643438958414
Hyperopt,7,7030.392,3,255,0.21740670467427825,0.0059125355496149725
Hyperopt,123,6721.109,3,178,0.1297300996294748,0.009873078975817373
Hyperopt,999,6907.978,2,65,0.005635007858249719,0.008240317728590442
Skopt,0,6876.953,2,256,0.0,0.005346570019085542
Skopt,42,7087.992,3,256,0.0,0.0009728930138268978
Skopt,7,7088.376,3,256,0.0,0.0016585507538510052
Skopt,123,6967.481,3,32,0.0,0.01
Skopt,999,6933.083,3,256,0.0,0.001253892829953465
