Model;Experiment;Level;Test_RMSE;;;
Optuna_LightGBM;GaussianNoise;1;14069;;;
Optuna_XGBoost;GaussianNoise;1;10850;;;
Optuna_CatBoost;GaussianNoise;1;6683;;;
Optuna_MLP;GaussianNoise;1;5483;;;
Optuna_LightGBM;GaussianNoise;5;113588;;;
Optuna_XGBoost;GaussianNoise;5;11404;;;
Optuna_CatBoost;GaussianNoise;5;6469;;;
Optuna_MLP;GaussianNoise;5;5469;;;
Optuna_LightGBM;GaussianNoise;10;113474;;;
Optuna_XGBoost;GaussianNoise;10;10495;;;
Optuna_CatBoost;GaussianNoise;10;6573;;;
Optuna_MLP;GaussianNoise;10;5573;;;
Optuna_LightGBM;FeatureDropout;10;10809;;;
Optuna_XGBoost;FeatureDropout;10;5474;;;
Optuna_CatBoost;FeatureDropout;10;5483;;;
Optuna_MLP;FeatureDropout;10;6673;;;
Optuna_LightGBM;FeatureDropout;20;11236;;;
Optuna_XGBoost;FeatureDropout;20;8095;;;
Optuna_CatBoost;FeatureDropout;20;7719;;;
Optuna_MLP;FeatureDropout;20;31239;;;
Optuna_LightGBM;FeatureDropout;30;14533;;;
Optuna_XGBoost;FeatureDropout;30;22547;;;
Optuna_CatBoost;FeatureDropout;30;11429;;;
Optuna_MLP;FeatureDropout;30;23432;;;
