number,value,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_subsample
0,17000.687019353558,0.8139247011641872,0.004975346945654497,12,14,130,121,0.5210135248527092
1,6344.319827499422,0.5269518006294374,0.05040909866430481,10,50,668,73,0.5686160680888526
2,8901.738731212834,0.7108989606202516,0.022099197199555796,6,9,259,182,0.7812859358110493
3,9238.466565849885,0.8960598447990995,0.0135655220987308,6,14,396,170,0.6574673039560999
4,12355.402009130987,0.8803031791695841,0.0013927286315487035,8,5,922,164,0.8495961297959205
5,11918.591792020048,0.8179377107471466,0.002874283658736398,10,47,938,82,0.6239118251369347
6,13834.569916018398,0.6951795935467303,0.004851774516144466,5,49,425,33,0.932857894095821
7,12070.644266508578,0.5306587378069102,0.006872777241835109,7,33,403,111,0.7855630210505002
8,10812.067587455846,0.9019167492394246,0.003538433734386677,12,43,919,75,0.5390230762188865
9,13731.39394430068,0.629245959275977,0.0013284638887077942,10,12,844,120,0.7646956358892163
10,9054.33494139489,0.5100942447411038,0.08566984837581655,3,28,717,23,0.6479439147745122
11,10247.722070522428,0.9936212657824646,0.03298049555672868,9,36,113,70,0.9944409787176898
12,9263.145098334984,0.6163020733481497,0.028410071333685463,4,22,667,199,0.8502863804668188
13,7806.04966556049,0.6976015174874786,0.09170678063372778,7,39,263,154,0.6986529904129939
14,5728.647502919691,0.5953863268275119,0.06281071841199655,10,40,573,144,0.5905870421796413
15,6263.698935698734,0.5936209378334765,0.04973630007774037,10,43,593,138,0.5738495868381908
16,6153.054390697246,0.5975369844042709,0.04687266105104783,11,42,524,142,0.5865361094149005
17,8008.043346897837,0.59267511733662,0.014869803192851114,11,31,577,139,0.7051673409983464
18,6037.860856329881,0.6626321044249618,0.04988151418438736,9,23,470,143,0.6015962498894326
19,4096.37904982606,0.6596056316304952,0.07023837230672607,8,20,806,96,0.6912263499413255
