number,value,params_n_estimators,params_learning_rate,params_max_depth,params_subsample,params_colsample_bytree
0,8320.924439171651,750,0.02014431790817879,8,0.9860056219143646,0.8529593847228769
1,14386.835529330796,257,0.01032445420464758,3,0.932902863447185,0.6083511458411721
2,8976.547038212075,856,0.01226313715963767,12,0.8628627048752285,0.828419885586914
3,8289.028935839624,940,0.013446419382707322,6,0.6710145247449693,0.5533131801626936
4,10423.05653094639,808,0.004358157940502276,6,0.5148373678560771,0.9152636312939901
5,8012.020924583612,969,0.02787960070402845,7,0.7552150234449375,0.7621049940604301
6,8056.0196351956,801,0.020371417569495516,7,0.8912151463114681,0.9043303051758608
7,13083.72159838362,557,0.0041227048249324275,5,0.6712627844978467,0.6165905031836183
8,11380.149503150207,398,0.010942036283954806,4,0.7370153806062891,0.85564274803415
9,15164.020637240817,792,0.001404693133637847,10,0.8489055347184344,0.6448769383105231
10,9240.445408144187,590,0.0898208569742417,10,0.5254013493641297,0.7113398974899263
11,8403.29690500796,967,0.04022651426474922,8,0.809875023112767,0.9562894614396937
12,8319.014582192774,681,0.04250363598503141,7,0.7297183090492062,0.7172958515247514
13,8880.222671176636,996,0.032329273333570434,9,0.9143002766985485,0.9981793400771922
14,8120.11477984529,666,0.089055399058007,6,0.6301450112342081,0.7857143382614029
15,10909.702434898876,465,0.005706359608441696,7,0.8095724302551294,0.7659277579424739
16,8637.555226968327,876,0.02410842526566229,9,0.7810860361798478,0.9335129448049705
17,9222.131473889345,706,0.05393296801538212,12,0.9902262968184286,0.6892296552874357
18,22060.287374880158,151,0.0020317003403820307,5,0.9043994594275341,0.501843688573067
19,8562.789231578556,897,0.01688562083700486,9,0.6343544318531038,0.8996950792660104
20,13886.043225668378,439,0.006695501745289842,3,0.8593032549843266,0.816136408576927
21,8087.93506958763,651,0.08157330813868392,6,0.579633741954822,0.7743944911290764
22,8309.369935443638,644,0.05771158305378771,5,0.5666102462363733,0.743108103454232
23,8065.038057220271,796,0.027164429844840923,7,0.7055880114489244,0.7983660994584922
24,8097.237815600559,821,0.026952845980964594,7,0.6894247455849647,0.8745754816472269
25,8286.098911596044,924,0.019672903349943538,8,0.713193160698557,0.8270822180107463
26,8989.562691059884,776,0.007369147650784766,7,0.7735759694784732,0.9521028202440024
27,8838.95932571175,996,0.033177755949902465,10,0.7701399360180459,0.6667287889212706
28,8476.890097990481,745,0.014551153289926184,8,0.8170322321895441,0.7991886300936514
29,8911.620745420301,733,0.021096116793536464,4,0.9337414219338871,0.8834824565277568
30,8673.209186845412,849,0.06035533529376035,9,0.6345413043852914,0.9929324702837843
31,7905.138812102547,594,0.06994068525244165,6,0.5850954695049315,0.7562749842921428
32,8509.141113282936,340,0.03050103146359444,6,0.6029847367321712,0.7401866625810323
33,8016.90662458257,498,0.042902924538227756,7,0.9492892913369113,0.8459279572197449
34,8336.266798841674,501,0.04206342779302323,8,0.9685753475334963,0.8393204525076173
35,8226.983839995299,332,0.06806438160437671,6,0.946090783866577,0.8433578684990723
36,8114.9318388447155,609,0.04708456032453667,5,0.8891687800541911,0.7186432113919948
37,9772.674494664836,519,0.01756555870316747,4,0.9545971430466472,0.8703407680054457
38,8116.079650745744,235,0.07131367801765653,7,0.8778374012535144,0.9182270898607798
39,9876.52597449129,547,0.00931392266297253,6,0.8296434348665724,0.6295503959014871
